id;title;date;start;end;type;sport;location;intervenants;descriptif;featured;B2B;;
S18;Le circuit pro, un levier pour booster la pratique amateur ?;2027-04-17;15:30;16:30;Table ronde;Padel;Salle de conférence;Responsables PPA/FIP, FFT, organisateurs;Le développement des sports de raquettes repose aussi sur la dynamique du haut niveau. En quoi les circuits professionnels peuvent-ils servir de catalyseur pour la pratique amateur ? Quels partenariats imaginer entre les organisateurs de tournois, les fédérations et les clubs locaux ? Cette table-ronde réunira joueurs, organisateurs de compétitions et dirigeants de fédérations.;;x;;
S19;Réinventer les clubs de tennis traditionnels : réaménagements, animations, nouveaux publics;2027-04-17;17:00;18:00;Conférence;Tennis;Salle de conférence;Responsables FFT, dirigeants de clubs, architectes;Le tennis doit se renouveler pour séduire de nouveaux publics. Cette conférence donnera des exemples concrets de clubs qui ont su se réinventer : rénovations d’infrastructures, organisation d’événements inédits, partenariats avec des marques lifestyle, accueil de nouvelles pratiques (pickleball, padel…). Témoignages croisés de dirigeants et de prestataires spécialisés.;;x;;
S20;Tennis & digital : quels outils numériques pour gérer, animer et fidéliser ?;2027-04-17;10:00;11:00;Conférence;Tennis;Salle de conférence;Start-up tennis tech, gestionnaires de clubs, éditeurs de logiciels;Digitalisation de la relation client, automatisation de la gestion, enrichissement de l’expérience joueur… les outils numériques ne manquent pas. Mais comment choisir les bons ? Quels retours sur investissement attendre ? Cette session comparera différentes solutions et donnera la parole à des clubs utilisateurs pour un retour concret sur leur mise en place.;;x;;
S21;Pickleball : construire son projet d’installation indoor ou outdoor en France;2027-04-18;11:30;12:30;Conférence;Pickleball;Salle de conférence;Fournisseurs, exploitants, experts en réglementation;Le pickleball est en plein essor en France, mais peu d’infrastructures existent encore. Cette conférence a pour objectif d’accompagner les porteurs de projet dans leur démarche : quelle taille de terrain ? Quelles normes ? Quels fournisseurs ? Quelles aides ? Un panorama complet des étapes, des coûts et des perspectives de développement.;;x;;
S22;Positionner sa marque dans un marché naissant : branding, visibilité, réseaux de distribution;2027-04-18;14:00;15:00;Conférence;Pickleball;Salle de conférence;Jeunes marques, distributeurs, responsables de communication;Le pickleball est encore un marché vierge… mais pour combien de temps ? Cette conférence s’adresse aux marques souhaitant s’implanter dès maintenant pour occuper les meilleures places. Comment se faire connaître ? Où vendre ? Quels ambassadeurs mobiliser ? Retour d’expérience de pionniers du marché français et international.;;x;;
S23;Badminton et compétitivité locale : développer la pratique en milieu urbain et périurbain;2027-04-18;15:30;16:30;Conférence;Badminton;Salle de conférence;Dirigeants clubs, collectivités, ligue régionale;Le badminton est un sport en plein développement… mais encore peu visible en dehors de certains bassins. Cette table-ronde abordera les solutions pour développer la pratique dans les zones moins équipées : mutualisation d’infrastructures, partenariats avec les municipalités, animation en milieu scolaire. Exemples de clubs moteurs et d’initiatives innovantes.;;x;;
S24;Lancer un club nouvelle génération : bar à ping, ping social, ping urbain;2027-04-18;17:00;18:00;Table ronde;Tennis de table;Salle de conférence;Fondateurs de bars à ping, Fédé, acteurs associatifs;Le tennis de table se réinvente dans des lieux inattendus : bars, galeries commerciales, places publiques… Cette session présente des initiatives originales mêlant sport, musique, culture urbaine et convivialité. Comment monter ce type de projet ? Quel modèle économique ? Témoignages d’acteurs français et internationaux ayant transformé le ping en expérience sociale.;;x;;
S25;La technologie dans le ping : robots, capteurs, entraînement augmenté;2027-04-18;10:00;11:00;Conférence;Tennis de table;Salle de conférence;Marques tech, coachs, ingénieurs;Le ping n’échappe pas à la vague technologique : robots d’entraînement, balles connectées, IA d’analyse gestuelle… Cette conférence vous plongera dans l’univers du ping 3.0 avec des démonstrations en live, des échanges avec des start-ups et des clubs ayant intégré ces outils dans leurs entraînements. Un avant-goût de l’avenir de la discipline !;;x;;
S26;Sports de raquettes et nouvelles technologies : quelles applis, objets connectés et plateformes pour s’amuser, progresser et jouer plus ?;2027-04-18;10:00;11:00;Conférence;Multisport;Salle de conférence;Marques tech, coachs, ingénieurs;Matchmaking pour trouver des partenaires, applications d’analyse technique, scoring en ligne, capteurs de raquette, montres sportives, coaching digital… cette conférence vous présentera les meilleures solutions pour rendre votre pratique plus fun, plus efficace, et plus sociale. Avec démonstrations live !;x;;;
S27;Dans les coulisses du matériel : comment sont conçues vos raquettes de padel ?;2027-04-17;12:00;13:00;Conférence;Padel;Salle de conférence;Marques Padel, joueurs pros;Poids, forme, mousse, carbone, sweet spot… Qu’est-ce qui différencie une raquette d’entrée de gamme d’un modèle pro ? Quelles évolutions technologiques pour demain ? Des ingénieurs et designers de grandes marques de padel viendront décrypter les dernières tendances, les matériaux innovants et l’impact de ces choix techniques sur votre jeu.;x;;;
S28;Raquettes & Bien-être : Comment les sports de raquettes peuvent améliorer votre santé au quotidien;2027-04-17;15:00;16:00;Conférence;Multisport;Salle de conférence;Medecins, Kinés;Découvrez comment la pratique régulière du tennis, du padel, du badminton ou encore du tennis de table peut avoir des bénéfices concrets sur votre santé physique et mentale : amélioration de la condition cardio-respiratoire, renforcement musculaire, gestion du stress… Médecins du sport, kinés et coachs spécialisés partageront conseils, anecdotes et routines accessibles à tous les âges.;x;;;
S29;Comment choisir la bonne discipline pour vous ou vos enfants ?;2027-04-17;18:00;19:00;Conférence;Multisport;Salle de conférence;Coachs, FFT, FFB, FFTT;Tennis, padel, pickleball, badminton, tennis de table… quelles sont les différences concrètes entre ces sports ? Quelles qualités développent-ils ? À partir de quel âge peut-on débuter ? Quel sport pour les plus compétitifs, les plus ludiques ou les plus doux ? Un moment d’échange idéal pour les familles, encadré par des éducateurs et ambassadeurs multisports.;x;;;
